,Incorrect,Correct
0,0,1
1,1,1
2,2,1
3,3,1
4,3,2
5,3,3
6,3,4
7,4,4
8,4,5
9,5,5
10,6,5
11,7,5
12,7,6
13,7,7
14,8,7
15,9,7
16,10,7
17,10,8
18,11,8
19,12,8
20,13,8
21,14,8
22,15,8
23,16,8
24,16,9
25,16,10
26,17,10
27,18,10
28,19,10
29,20,10
30,21,10
31,21,11
32,22,11
33,23,11
34,23,12
35,24,12
36,25,12
37,25,13
38,25,14
39,25,15
40,26,15
41,26,16
42,27,16
43,28,16
44,28,17
45,28,18
46,28,19
47,29,19
48,29,20
49,30,20
50,30,21
51,30,22
52,31,22
53,32,22
54,33,22
55,34,22
56,34,23
57,34,24
58,35,24
59,35,25
60,36,25
61,37,25
62,38,25
63,38,26
64,39,26
65,39,27
66,39,28
67,39,29
68,39,30
69,40,30
70,40,31
71,41,31
72,41,32
73,42,32
74,42,33
75,43,33
76,44,33
77,45,33
78,46,33
79,47,33
80,47,34
81,48,34
82,49,34
83,50,34
84,51,34
85,51,35
86,52,35
87,53,35
88,54,35
89,55,35
90,56,35
91,56,36
92,57,36
93,58,36
94,59,36
95,59,37
96,60,37
97,61,37
98,62,37
99,63,37
100,64,37
101,64,38
102,65,38
103,66,38
104,67,38
105,68,38
106,69,38
107,69,39
108,70,39
109,71,39
110,72,39
111,73,39
112,74,39
113,75,39
114,76,39
115,77,39
116,78,39
117,78,40
118,78,41
119,79,41
120,80,41
121,80,42
122,81,42
123,81,43
124,82,43
125,82,44
126,83,44
127,84,44
128,85,44
129,86,44
130,87,44
131,88,44
132,88,45
133,89,45
134,89,46
135,90,46
136,90,47
137,91,47
138,92,47
139,93,47
140,94,47
141,95,47
142,95,48
143,96,48
144,96,49
145,97,49
146,97,50
147,98,50
148,98,51
149,99,51
150,100,51
151,100,52
152,101,52
153,101,53
154,102,53
155,102,54
156,102,55
157,103,55
158,104,55
159,105,55
160,106,55
161,107,55
162,107,56
163,107,57
164,108,57
165,108,58
166,108,59
167,109,59
168,110,59
169,111,59
170,111,60
171,112,60
172,113,60
173,113,61
174,114,61
175,115,61
176,116,61
177,116,62
178,116,63
179,117,63
180,118,63
181,118,64
182,119,64
183,120,64
184,120,65
185,121,65
186,122,65
187,122,66
188,123,66
189,123,67
190,124,67
191,125,67
192,126,67
193,127,67
194,128,67
195,128,68
196,129,68
197,130,68
198,131,68
199,132,68
200,0,1
201,0,2
202,1,2
203,2,2
204,3,2
205,4,2
206,5,2
207,5,3
208,5,4
209,6,4
210,6,5
211,7,5
212,7,6
213,8,6
214,9,6
215,9,7
216,9,8
217,10,8
218,10,9
219,10,10
220,11,10
221,12,10
222,13,10
223,13,11
224,14,11
225,15,11
226,15,12
227,15,13
228,15,14
229,15,15
230,16,15
231,16,16
232,17,16
233,18,16
234,19,16
235,20,16
236,20,17
237,21,17
238,21,18
239,22,18
240,22,19
241,23,19
242,24,19
243,24,20
244,24,21
245,25,21
246,26,21
247,27,21
248,28,21
249,29,21
250,29,22
251,29,23
252,29,24
253,29,25
254,29,26
255,30,26
256,30,27
257,31,27
258,31,28
259,32,28
260,32,29
261,32,30
262,33,30
263,34,30
264,35,30
265,36,30
266,37,30
267,37,31
268,38,31
269,38,32
270,39,32
271,39,33
272,40,33
273,41,33
274,42,33
275,42,34
276,42,35
277,42,36
278,43,36
279,44,36
280,44,37
281,44,38
282,45,38
283,46,38
284,47,38
285,48,38
286,49,38
287,50,38
288,51,38
289,52,38
290,53,38
291,54,38
292,54,39
293,55,39
294,55,40
295,56,40
296,57,40
297,58,40
298,58,41
299,59,41
300,60,41
301,61,41
302,62,41
303,62,42
304,63,42
305,64,42
306,65,42
307,65,43
308,66,43
309,67,43
310,68,43
311,69,43
312,70,43
313,70,44
314,71,44
315,72,44
316,73,44
317,73,45
318,74,45
319,75,45
320,76,45
321,77,45
322,78,45
323,78,46
324,79,46
325,79,47
326,79,48
327,79,49
328,80,49
329,81,49
330,82,49
331,83,49
332,84,49
333,85,49
334,86,49
335,87,49
336,87,50
337,88,50
338,88,51
339,89,51
340,90,51
341,91,51
342,91,52
343,91,53
344,91,54
345,92,54
346,93,54
347,94,54
348,95,54
349,96,54
350,97,54
351,98,54
352,99,54
353,99,55
354,100,55
355,101,55
356,102,55
357,102,56
358,103,56
359,103,57
360,104,57
361,104,58
362,105,58
363,106,58
364,107,58
365,107,59
366,108,59
367,108,60
368,109,60
369,109,61
370,109,62
371,109,63
372,109,64
373,109,65
374,110,65
375,111,65
376,112,65
377,112,66
378,113,66
379,114,66
380,115,66
381,116,66
382,117,66
383,118,66
384,119,66
385,120,66
386,121,66
387,122,66
388,122,67
389,123,67
390,124,67
391,125,67
392,126,67
393,127,67
394,128,67
395,129,67
396,130,67
397,130,68
398,131,68
399,132,68
400,0,1
401,1,1
402,2,1
403,3,1
404,4,1
405,4,2
406,5,2
407,5,3
408,6,3
409,6,4
410,7,4
411,8,4
412,9,4
413,9,5
414,10,5
415,11,5
416,12,5
417,12,6
418,13,6
419,14,6
420,15,6
421,16,6
422,17,6
423,17,7
424,17,8
425,18,8
426,18,9
427,18,10
428,18,11
429,18,12
430,18,13
431,19,13
432,19,14
433,20,14
434,20,15
435,20,16
436,21,16
437,21,17
438,22,17
439,22,18
440,23,18
441,24,18
442,24,19
443,25,19
444,26,19
445,27,19
446,28,19
447,29,19
448,29,20
449,30,20
450,30,21
451,31,21
452,32,21
453,32,22
454,32,23
455,32,24
456,32,25
457,32,26
458,32,27
459,32,28
460,32,29
461,33,29
462,34,29
463,34,30
464,35,30
465,35,31
466,35,32
467,35,33
468,36,33
469,37,33
470,38,33
471,39,33
472,39,34
473,39,35
474,40,35
475,41,35
476,41,36
477,42,36
478,42,37
479,42,38
480,42,39
481,43,39
482,44,39
483,44,40
484,45,40
485,45,41
486,46,41
487,46,42
488,47,42
489,47,43
490,48,43
491,48,44
492,48,45
493,48,46
494,49,46
495,50,46
496,50,47
497,51,47
498,51,48
499,52,48
500,52,49
501,53,49
502,54,49
503,55,49
504,55,50
505,56,50
506,56,51
507,57,51
508,58,51
509,59,51
510,59,52
511,60,52
512,61,52
513,61,53
514,62,53
515,62,54
516,62,55
517,63,55
518,63,56
519,63,57
520,63,58
521,64,58
522,64,59
523,65,59
524,66,59
525,66,60
526,67,60
527,68,60
528,68,61
529,69,61
530,69,62
531,70,62
532,71,62
533,71,63
534,72,63
535,73,63
536,74,63
537,74,64
538,75,64
539,75,65
540,76,65
541,76,66
542,77,66
543,78,66
544,79,66
545,80,66
546,81,66
547,81,67
548,81,68
549,82,68
550,82,69
551,83,69
552,83,70
553,83,71
554,84,71
555,85,71
556,85,72
557,85,73
558,86,73
559,87,73
560,87,74
561,88,74
562,89,74
563,90,74
564,91,74
565,92,74
566,92,75
567,93,75
568,94,75
569,94,76
570,95,76
571,96,76
572,96,77
573,97,77
574,97,78
575,98,78
576,99,78
577,99,79
578,100,79
579,101,79
580,101,80
581,102,80
582,103,80
583,104,80
584,105,80
585,106,80
586,107,80
587,108,80
588,108,81
589,109,81
590,109,82
591,110,82
592,111,82
593,112,82
594,112,83
595,113,83
596,114,83
597,114,84
598,115,84
599,116,84
