,Wrong,Correct
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,0
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,16,2
18,17,2
19,18,2
20,18,3
21,19,3
22,20,3
23,20,4
24,20,5
25,21,5
26,22,5
27,22,6
28,23,6
29,24,6
30,1,0
31,2,0
32,3,0
33,4,0
34,5,0
35,6,0
36,7,0
37,7,1
38,7,2
39,8,2
40,9,2
41,10,2
42,11,2
43,12,2
44,13,2
45,14,2
46,14,3
47,14,4
48,15,4
49,15,5
50,15,6
51,16,6
52,17,6
53,18,6
54,19,6
55,19,7
56,20,7
57,21,7
58,22,7
59,23,7
60,1,0
61,2,0
62,3,0
63,4,0
64,5,0
65,6,0
66,7,0
67,8,0
68,9,0
69,10,0
70,11,0
71,12,0
72,13,0
73,14,0
74,15,0
75,15,1
76,16,1
77,17,1
78,18,1
79,19,1
80,20,1
81,20,2
82,20,3
83,20,4
84,21,4
85,22,4
86,23,4
87,23,5
88,23,6
89,24,6
90,1,0
91,2,0
92,2,1
93,3,1
94,4,1
95,5,1
96,6,1
97,6,2
98,7,2
99,8,2
100,9,2
101,10,2
102,11,2
103,12,2
104,13,2
105,14,2
106,15,2
107,16,2
108,17,2
109,18,2
110,19,2
111,20,2
112,21,2
113,22,2
114,23,2
115,24,2
116,25,2
117,26,2
118,27,2
119,27,3
120,1,0
121,1,1
122,2,1
123,3,1
124,4,1
125,5,1
126,6,1
127,7,1
128,8,1
129,9,1
130,10,1
131,11,1
132,12,1
133,13,1
134,14,1
135,14,2
136,14,3
137,14,4
138,14,5
139,14,6
140,14,7
141,15,7
142,16,7
143,17,7
144,18,7
145,19,7
146,19,8
147,20,8
148,21,8
149,22,8
150,0,1
151,0,2
152,1,2
153,1,3
154,2,3
155,3,3
156,3,4
157,4,4
158,5,4
159,6,4
160,6,5
161,7,5
162,8,5
163,9,5
164,10,5
165,11,5
166,11,6
167,12,6
168,13,6
169,13,7
170,14,7
171,15,7
172,16,7
173,17,7
174,18,7
175,19,7
176,20,7
177,21,7
178,22,7
179,22,8
180,1,0
181,1,1
182,2,1
183,2,2
184,3,2
185,4,2
186,5,2
187,6,2
188,7,2
189,8,2
190,9,2
191,10,2
192,11,2
193,12,2
194,13,2
195,13,3
196,14,3
197,15,3
198,15,4
199,16,4
200,17,4
201,17,5
202,18,5
203,19,5
204,20,5
205,21,5
206,21,6
207,21,7
208,22,7
209,23,7
210,1,0
211,1,1
212,1,2
213,2,2
214,3,2
215,4,2
216,5,2
217,6,2
218,7,2
219,8,2
220,9,2
221,10,2
222,11,2
223,12,2
224,13,2
225,14,2
226,15,2
227,16,2
228,17,2
229,18,2
230,19,2
231,20,2
232,21,2
233,22,2
234,23,2
235,23,3
236,23,4
237,24,4
238,25,4
239,25,5
240,1,0
241,1,1
242,2,1
243,2,2
244,3,2
245,4,2
246,5,2
247,6,2
248,7,2
249,7,3
250,8,3
251,8,4
252,8,5
253,9,5
254,10,5
255,11,5
256,12,5
257,13,5
258,13,6
259,14,6
260,15,6
261,16,6
262,16,7
263,17,7
264,17,8
265,18,8
266,18,9
267,19,9
268,19,10
269,20,10
270,0,1
271,0,2
272,1,2
273,1,3
274,2,3
275,3,3
