,Incorrect,Correct
0,0,1
1,1,1
2,1,2
3,2,2
4,3,2
5,4,2
6,5,2
7,6,2
8,6,3
9,7,3
10,8,3
11,9,3
12,9,4
13,9,5
14,9,6
15,9,7
16,10,7
17,10,8
18,11,8
19,12,8
20,13,8
21,13,9
22,14,9
23,14,10
24,15,10
25,16,10
26,16,11
27,16,12
28,17,12
29,18,12
30,18,13
31,19,13
32,20,13
33,20,14
34,21,14
35,22,14
36,23,14
37,24,14
38,24,15
39,25,15
40,25,16
41,25,17
42,26,17
43,27,17
44,27,18
45,28,18
46,28,19
47,28,20
48,29,20
49,30,20
50,31,20
51,32,20
52,32,21
53,33,21
54,34,21
55,35,21
56,35,22
57,36,22
58,36,23
59,37,23
60,37,24
61,37,25
62,38,25
63,38,26
64,39,26
65,40,26
66,40,27
67,40,28
68,40,29
69,41,29
70,41,30
71,42,30
72,43,30
73,44,30
74,45,30
75,45,31
76,45,32
77,45,33
78,46,33
79,46,34
80,47,34
81,47,35
82,48,35
83,49,35
84,49,36
85,49,37
86,50,37
87,51,37
88,52,37
89,53,37
90,54,37
91,54,38
92,54,39
93,55,39
94,55,40
95,55,41
96,56,41
97,57,41
98,58,41
99,59,41
100,60,41
101,61,41
102,61,42
103,61,43
104,62,43
105,63,43
106,63,44
107,64,44
108,64,45
109,65,45
110,66,45
111,67,45
112,67,46
113,68,46
114,68,47
115,68,48
116,68,49
117,69,49
118,70,49
119,70,50
120,70,51
121,71,51
122,72,51
123,73,51
124,74,51
125,74,52
126,75,52
127,76,52
128,77,52
129,78,52
130,79,52
131,79,53
132,79,54
133,80,54
134,81,54
135,81,55
136,82,55
137,82,56
138,83,56
139,84,56
140,84,57
141,84,58
142,85,58
143,85,59
144,86,59
145,87,59
146,88,59
147,89,59
148,89,60
149,89,61
150,90,61
151,90,62
152,91,62
153,92,62
154,93,62
155,94,62
156,94,63
157,95,63
158,96,63
159,97,63
160,97,64
161,97,65
162,97,66
163,97,67
164,97,68
165,98,68
166,98,69
167,99,69
168,100,69
169,101,69
170,102,69
171,103,69
172,104,69
173,105,69
174,105,70
175,106,70
176,107,70
177,107,71
178,107,72
179,108,72
180,109,72
181,110,72
182,110,73
183,111,73
184,111,74
185,112,74
186,112,75
187,113,75
188,114,75
189,114,76
190,115,76
191,116,76
192,117,76
193,117,77
194,117,78
195,118,78
196,119,78
197,119,79
198,119,80
199,120,80
200,0,1
201,0,2
202,1,2
203,1,3
204,1,4
205,1,5
206,2,5
207,2,6
208,2,7
209,3,7
210,4,7
211,5,7
212,6,7
213,7,7
214,8,7
215,9,7
216,9,8
217,9,9
218,9,10
219,10,10
220,10,11
221,10,12
222,11,12
223,12,12
224,12,13
225,12,14
226,12,15
227,13,15
228,13,16
229,14,16
230,14,17
231,14,18
232,15,18
233,16,18
234,17,18
235,17,19
236,18,19
237,18,20
238,19,20
239,20,20
240,20,21
241,21,21
242,22,21
243,22,22
244,23,22
245,24,22
246,25,22
247,26,22
248,27,22
249,28,22
250,28,23
251,29,23
252,30,23
253,31,23
254,31,24
255,32,24
256,32,25
257,32,26
258,33,26
259,34,26
260,35,26
261,35,27
262,36,27
263,37,27
264,38,27
265,39,27
266,40,27
267,41,27
268,42,27
269,43,27
270,43,28
271,44,28
272,45,28
273,46,28
274,47,28
275,48,28
276,49,28
277,49,29
278,50,29
279,50,30
280,51,30
281,52,30
282,53,30
283,53,31
284,53,32
285,53,33
286,54,33
287,54,34
288,54,35
289,55,35
290,56,35
291,57,35
292,57,36
293,57,37
294,58,37
295,58,38
296,58,39
297,59,39
298,60,39
299,60,40
300,61,40
301,61,41
302,62,41
303,63,41
304,63,42
305,63,43
306,64,43
307,65,43
308,66,43
309,66,44
310,66,45
311,67,45
312,68,45
313,69,45
314,70,45
315,71,45
316,71,46
317,72,46
318,73,46
319,74,46
320,75,46
321,76,46
322,77,46
323,77,47
324,77,48
325,77,49
326,78,49
327,79,49
328,80,49
329,81,49
330,82,49
331,83,49
332,83,50
333,84,50
334,85,50
335,86,50
336,86,51
337,87,51
338,87,52
339,88,52
340,88,53
341,89,53
342,89,54
343,90,54
344,90,55
345,90,56
346,90,57
347,90,58
348,90,59
349,91,59
350,91,60
351,91,61
352,92,61
353,93,61
354,94,61
355,95,61
356,96,61
357,96,62
358,97,62
359,97,63
360,98,63
361,98,64
362,99,64
363,99,65
364,99,66
365,100,66
366,101,66
367,102,66
368,102,67
369,102,68
370,103,68
371,103,69
372,104,69
373,105,69
374,106,69
375,107,69
376,107,70
377,107,71
378,108,71
379,109,71
380,109,72
381,109,73
382,110,73
383,111,73
384,112,73
385,112,74
386,113,74
387,114,74
388,115,74
389,115,75
390,116,75
391,117,75
392,118,75
393,119,75
394,119,76
395,119,77
396,119,78
397,119,79
398,120,79
399,120,80
400,0,1
401,0,2
402,1,2
403,2,2
404,3,2
405,4,2
406,4,3
407,5,3
408,6,3
409,6,4
410,7,4
411,8,4
412,8,5
413,8,6
414,9,6
415,9,7
416,10,7
417,10,8
418,11,8
419,12,8
420,12,9
421,13,9
422,13,10
423,14,10
424,15,10
425,16,10
426,16,11
427,17,11
428,18,11
429,19,11
430,20,11
431,20,12
432,21,12
433,21,13
434,22,13
435,22,14
436,23,14
437,23,15
438,23,16
439,24,16
440,25,16
441,25,17
442,25,18
443,26,18
444,27,18
445,28,18
446,29,18
447,30,18
448,30,19
449,31,19
450,32,19
451,33,19
452,33,20
453,34,20
454,35,20
455,36,20
456,36,21
457,36,22
458,36,23
459,36,24
460,36,25
461,36,26
462,36,27
463,37,27
464,37,28
465,38,28
466,38,29
467,38,30
468,39,30
469,39,31
470,39,32
471,39,33
472,39,34
473,39,35
474,40,35
475,41,35
476,42,35
477,43,35
478,44,35
479,45,35
480,46,35
481,47,35
482,47,36
483,48,36
484,49,36
485,50,36
486,50,37
487,50,38
488,51,38
489,52,38
490,53,38
491,54,38
492,54,39
493,55,39
494,56,39
495,57,39
496,58,39
497,58,40
498,58,41
499,59,41
500,60,41
501,61,41
502,62,41
503,63,41
504,63,42
505,63,43
506,63,44
507,64,44
508,65,44
509,65,45
510,66,45
511,67,45
512,68,45
513,69,45
514,70,45
515,70,46
516,71,46
517,71,47
518,71,48
519,72,48
520,72,49
521,73,49
522,74,49
523,75,49
524,75,50
525,76,50
526,77,50
527,77,51
528,78,51
529,79,51
530,80,51
531,80,52
532,80,53
533,81,53
534,81,54
535,81,55
536,82,55
537,83,55
538,84,55
539,85,55
540,85,56
541,86,56
542,87,56
543,87,57
544,87,58
545,88,58
546,88,59
547,89,59
548,90,59
549,91,59
550,92,59
551,92,60
552,93,60
553,94,60
554,95,60
555,96,60
556,97,60
557,98,60
558,99,60
559,99,61
560,100,61
561,101,61
562,102,61
563,102,62
564,103,62
565,103,63
566,103,64
567,104,64
568,105,64
569,106,64
570,107,64
571,108,64
572,108,65
573,109,65
574,110,65
575,110,66
576,111,66
577,112,66
578,112,67
579,113,67
580,114,67
581,115,67
582,116,67
583,117,67
584,118,67
585,119,67
586,120,67
587,120,68
588,121,68
589,122,68
590,123,68
591,123,69
592,123,70
593,124,70
594,125,70
595,126,70
596,127,70
597,128,70
598,128,71
599,128,72
