,Wrong,Correct
0,1,0
1,2,0
2,3,0
3,4,0
4,4,1
5,5,1
6,6,1
7,7,1
8,7,2
9,8,2
10,9,2
11,10,2
12,11,2
13,11,3
14,12,3
15,13,3
16,14,3
17,14,4
18,15,4
19,16,4
20,17,4
21,17,5
22,17,6
23,18,6
24,18,7
25,19,7
26,20,7
27,21,7
28,22,7
29,23,7
30,0,1
31,0,2
32,0,3
33,1,3
34,2,3
35,3,3
36,3,4
37,3,5
38,3,6
39,3,7
40,4,7
41,5,7
42,6,7
43,7,7
44,8,7
45,8,8
46,9,8
47,10,8
48,11,8
49,12,8
50,13,8
51,14,8
52,15,8
53,15,9
54,15,10
55,15,11
56,16,11
57,17,11
58,18,11
59,19,11
60,0,1
61,0,2
62,1,2
63,2,2
64,3,2
65,4,2
66,5,2
67,6,2
68,6,3
69,7,3
70,8,3
71,9,3
72,10,3
73,11,3
74,12,3
75,13,3
76,13,4
77,14,4
78,14,5
79,15,5
80,16,5
81,17,5
82,18,5
83,19,5
84,20,5
85,21,5
86,22,5
87,23,5
88,24,5
89,25,5
90,0,1
91,0,2
92,0,3
93,0,4
94,0,5
95,1,5
96,2,5
97,3,5
98,4,5
99,4,6
100,4,7
101,5,7
102,6,7
103,7,7
104,8,7
105,9,7
106,10,7
107,11,7
108,12,7
109,12,8
110,13,8
111,14,8
112,15,8
113,16,8
114,17,8
115,17,9
116,18,9
117,19,9
118,19,10
119,19,11
120,0,1
121,1,1
122,2,1
123,3,1
124,4,1
125,5,1
126,6,1
127,7,1
128,8,1
129,9,1
130,10,1
131,11,1
132,12,1
133,12,2
134,13,2
135,14,2
136,15,2
137,16,2
138,17,2
139,18,2
140,19,2
141,20,2
142,21,2
143,22,2
144,23,2
145,24,2
146,24,3
147,25,3
148,26,3
149,27,3
150,0,1
151,0,2
152,0,3
153,1,3
154,1,4
155,2,4
156,3,4
157,4,4
158,5,4
159,6,4
160,6,5
161,7,5
162,8,5
163,8,6
164,9,6
165,10,6
166,11,6
167,12,6
168,13,6
169,14,6
170,14,7
171,14,8
172,15,8
173,16,8
174,17,8
175,18,8
176,18,9
177,19,9
178,20,9
179,20,10
180,0,1
181,1,1
182,2,1
183,2,2
184,2,3
185,3,3
186,4,3
187,5,3
188,6,3
189,7,3
190,8,3
191,9,3
192,10,3
193,11,3
194,11,4
195,11,5
196,12,5
197,13,5
198,14,5
199,15,5
200,16,5
201,17,5
202,18,5
203,19,5
204,20,5
205,21,5
206,22,5
207,22,6
208,23,6
209,24,6
210,1,0
211,2,0
212,2,1
213,3,1
214,4,1
215,4,2
216,5,2
217,5,3
218,5,4
219,6,4
220,7,4
221,7,5
222,8,5
223,9,5
224,10,5
225,11,5
226,11,6
227,11,7
228,12,7
229,13,7
230,14,7
231,15,7
232,16,7
233,17,7
234,18,7
235,19,7
236,20,7
237,21,7
238,22,7
239,23,7
240,0,1
241,0,2
242,1,2
243,2,2
244,3,2
245,4,2
246,5,2
247,6,2
248,7,2
249,8,2
250,9,2
251,9,3
252,9,4
253,10,4
254,11,4
255,12,4
256,13,4
257,14,4
258,15,4
259,16,4
260,17,4
261,18,4
262,19,4
263,20,4
264,21,4
265,22,4
266,23,4
267,23,5
268,24,5
269,25,5
270,0,1
271,1,1
272,2,1
273,2,2
274,3,2
275,4,2
