,Incorrect,Correct
0,1,0
1,1,1
2,1,2
3,1,3
4,1,4
5,2,4
6,2,5
7,2,6
8,3,6
9,3,7
10,3,8
11,3,9
12,3,10
13,3,11
14,4,11
15,4,12
16,5,12
17,5,13
18,5,14
19,5,15
20,5,16
21,5,17
22,6,17
23,7,17
24,8,17
25,8,18
26,8,19
27,9,19
28,9,20
29,10,20
30,11,20
31,11,21
32,11,22
33,11,23
34,11,24
35,11,25
36,11,26
37,11,27
38,12,27
39,13,27
40,13,28
41,13,29
42,13,30
43,13,31
44,13,32
45,13,33
46,13,34
47,13,35
48,13,36
49,14,36
50,15,36
51,15,37
52,15,38
53,15,39
54,15,40
55,15,41
56,15,42
57,15,43
58,16,43
59,17,43
60,18,43
61,18,44
62,18,45
63,18,46
64,18,47
65,18,48
66,18,49
67,19,49
68,20,49
69,20,50
70,21,50
71,22,50
72,22,51
73,22,52
74,23,52
75,23,53
76,23,54
77,23,55
78,23,56
79,23,57
80,24,57
81,24,58
82,24,59
83,24,60
84,24,61
85,24,62
86,25,62
87,25,63
88,25,64
89,25,65
90,25,66
91,26,66
92,27,66
93,27,67
94,27,68
95,28,68
96,28,69
97,29,69
98,29,70
99,29,71
100,29,72
101,29,73
102,29,74
103,29,75
104,30,75
105,30,76
106,30,77
107,30,78
108,30,79
109,30,80
110,30,81
111,30,82
112,30,83
113,30,84
114,30,85
115,30,86
116,30,87
117,30,88
118,30,89
119,30,90
120,30,91
121,31,91
122,31,92
123,31,93
124,31,94
125,31,95
126,31,96
127,31,97
128,32,97
129,32,98
130,32,99
131,33,99
132,33,100
133,33,101
134,34,101
135,34,102
136,34,103
137,34,104
138,34,105
139,34,106
140,34,107
141,34,108
142,34,109
143,34,110
144,34,111
145,34,112
146,34,113
147,34,114
148,34,115
149,34,116
150,34,117
151,34,118
152,35,118
153,35,119
154,35,120
155,35,121
156,35,122
157,35,123
158,35,124
159,36,124
160,37,124
161,37,125
162,37,126
163,38,126
164,38,127
165,39,127
166,39,128
167,39,129
168,40,129
169,40,130
170,40,131
171,41,131
172,42,131
173,43,131
174,43,132
175,43,133
176,43,134
177,43,135
178,43,136
179,43,137
180,43,138
181,44,138
182,45,138
183,45,139
184,45,140
185,45,141
186,45,142
187,46,142
188,47,142
189,47,143
190,47,144
191,47,145
192,47,146
193,47,147
194,47,148
195,47,149
196,47,150
197,47,151
198,48,151
199,49,151
200,1,0
201,2,0
202,3,0
203,3,1
204,3,2
205,4,2
206,4,3
207,5,3
208,6,3
209,6,4
210,7,4
211,7,5
212,7,6
213,8,6
214,9,6
215,10,6
216,11,6
217,12,6
218,12,7
219,12,8
220,12,9
221,12,10
222,12,11
223,12,12
224,13,12
225,14,12
226,14,13
227,15,13
228,15,14
229,15,15
230,15,16
231,15,17
232,15,18
233,15,19
234,15,20
235,15,21
236,15,22
237,15,23
238,16,23
239,16,24
240,17,24
241,18,24
242,18,25
243,18,26
244,18,27
245,18,28
246,18,29
247,18,30
248,19,30
249,20,30
250,20,31
251,20,32
252,20,33
253,21,33
254,22,33
255,22,34
256,23,34
257,23,35
258,23,36
259,23,37
260,23,38
261,23,39
262,24,39
263,24,40
264,24,41
265,25,41
266,25,42
267,25,43
268,25,44
269,26,44
270,26,45
271,26,46
272,26,47
273,26,48
274,26,49
275,27,49
276,28,49
277,28,50
278,29,50
279,29,51
280,29,52
281,29,53
282,29,54
283,30,54
284,30,55
285,31,55
286,32,55
287,32,56
288,32,57
289,32,58
290,33,58
291,33,59
292,33,60
293,33,61
294,33,62
295,33,63
296,33,64
297,34,64
298,34,65
299,34,66
300,35,66
301,35,67
302,35,68
303,35,69
304,35,70
305,35,71
306,35,72
307,35,73
308,35,74
309,36,74
310,37,74
311,37,75
312,37,76
313,38,76
314,39,76
315,39,77
316,39,78
317,40,78
318,41,78
319,41,79
320,41,80
321,41,81
322,41,82
323,41,83
324,41,84
325,42,84
326,42,85
327,42,86
328,43,86
329,44,86
330,44,87
331,44,88
332,44,89
333,44,90
334,44,91
335,44,92
336,44,93
337,44,94
338,44,95
339,44,96
340,45,96
341,45,97
342,46,97
343,46,98
344,46,99
345,46,100
346,46,101
347,46,102
348,46,103
349,47,103
350,47,104
351,47,105
352,48,105
353,48,106
354,48,107
355,48,108
356,48,109
357,48,110
358,49,110
359,49,111
360,50,111
361,51,111
362,51,112
363,51,113
364,52,113
365,52,114
366,53,114
367,53,115
368,53,116
369,53,117
370,53,118
371,53,119
372,53,120
373,53,121
374,53,122
375,54,122
376,54,123
377,54,124
378,54,125
379,54,126
380,55,126
381,56,126
382,56,127
383,56,128
384,56,129
385,56,130
386,57,130
387,57,131
388,58,131
389,58,132
390,58,133
391,58,134
392,59,134
393,60,134
394,60,135
395,61,135
396,62,135
397,63,135
398,63,136
399,63,137
400,0,1
401,1,1
402,1,2
403,1,3
404,2,3
405,2,4
406,3,4
407,4,4
408,4,5
409,4,6
410,4,7
411,5,7
412,6,7
413,6,8
414,6,9
415,6,10
416,6,11
417,6,12
418,7,12
419,8,12
420,8,13
421,8,14
422,8,15
423,8,16
424,8,17
425,8,18
426,8,19
427,8,20
428,8,21
429,8,22
430,8,23
431,9,23
432,10,23
433,11,23
434,11,24
435,11,25
436,11,26
437,12,26
438,13,26
439,13,27
440,13,28
441,13,29
442,13,30
443,14,30
444,14,31
445,14,32
446,14,33
447,14,34
448,14,35
449,14,36
450,14,37
451,14,38
452,15,38
453,15,39
454,15,40
455,15,41
456,15,42
457,15,43
458,15,44
459,15,45
460,16,45
461,16,46
462,17,46
463,17,47
464,17,48
465,17,49
466,17,50
467,17,51
468,17,52
469,18,52
470,18,53
471,18,54
472,18,55
473,19,55
474,19,56
475,19,57
476,19,58
477,20,58
478,21,58
479,21,59
480,21,60
481,21,61
482,21,62
483,21,63
484,21,64
485,21,65
486,21,66
487,21,67
488,21,68
489,21,69
490,22,69
491,23,69
492,24,69
493,24,70
494,25,70
495,25,71
496,26,71
497,26,72
498,26,73
499,26,74
500,26,75
501,26,76
502,26,77
503,26,78
504,26,79
505,26,80
506,26,81
507,27,81
508,27,82
509,27,83
510,27,84
511,27,85
512,27,86
513,27,87
514,28,87
