,Incorrect,Correct
0,1,0
1,1,1
2,2,1
3,2,2
4,2,3
5,3,3
6,3,4
7,4,4
8,4,5
9,5,5
10,5,6
11,5,7
12,5,8
13,6,8
14,6,9
15,6,10
16,6,11
17,6,12
18,6,13
19,6,14
20,7,14
21,8,14
22,8,15
23,8,16
24,8,17
25,8,18
26,8,19
27,8,20
28,9,20
29,9,21
30,9,22
31,9,23
32,10,23
33,10,24
34,10,25
35,10,26
36,10,27
37,11,27
38,11,28
39,12,28
40,12,29
41,12,30
42,12,31
43,13,31
44,14,31
45,14,32
46,14,33
47,14,34
48,14,35
49,14,36
50,15,36
51,15,37
52,15,38
53,16,38
54,16,39
55,17,39
56,17,40
57,17,41
58,17,42
59,17,43
60,18,43
61,19,43
62,20,43
63,21,43
64,21,44
65,21,45
66,22,45
67,22,46
68,22,47
69,22,48
70,22,49
71,22,50
72,22,51
73,22,52
74,22,53
75,22,54
76,22,55
77,22,56
78,22,57
79,22,58
80,22,59
81,23,59
82,23,60
83,23,61
84,24,61
85,24,62
86,24,63
87,24,64
88,24,65
89,25,65
90,26,65
91,26,66
92,26,67
93,26,68
94,26,69
95,26,70
96,27,70
97,27,71
98,27,72
99,28,72
100,28,73
101,28,74
102,28,75
103,28,76
104,28,77
105,29,77
106,29,78
107,29,79
108,29,80
109,29,81
110,30,81
111,31,81
112,32,81
113,33,81
114,34,81
115,34,82
116,35,82
117,35,83
118,35,84
119,36,84
120,36,85
121,36,86
122,36,87
123,36,88
124,36,89
125,36,90
126,36,91
127,36,92
128,36,93
129,36,94
130,36,95
131,36,96
132,36,97
133,37,97
134,38,97
135,39,97
136,40,97
137,40,98
138,40,99
139,40,100
140,40,101
141,40,102
142,40,103
143,40,104
144,40,105
145,40,106
146,40,107
147,40,108
148,41,108
149,41,109
150,41,110
151,42,110
152,42,111
153,43,111
154,43,112
155,44,112
156,44,113
157,45,113
158,45,114
159,45,115
160,45,116
161,46,116
162,46,117
163,47,117
164,48,117
165,48,118
166,49,118
167,50,118
168,50,119
169,51,119
170,52,119
171,52,120
172,52,121
173,52,122
174,52,123
175,52,124
176,52,125
177,53,125
178,54,125
179,54,126
180,54,127
181,55,127
182,55,128
183,56,128
184,56,129
185,56,130
186,57,130
187,58,130
188,58,131
189,58,132
190,58,133
191,58,134
192,58,135
193,58,136
194,58,137
195,58,138
196,58,139
197,58,140
198,58,141
199,59,141
200,1,0
201,1,1
202,1,2
203,1,3
204,2,3
205,3,3
206,3,4
207,3,5
208,3,6
209,3,7
210,3,8
211,4,8
212,4,9
213,4,10
214,4,11
215,4,12
216,4,13
217,4,14
218,4,15
219,5,15
220,5,16
221,5,17
222,6,17
223,6,18
224,6,19
225,6,20
226,6,21
227,6,22
228,7,22
229,7,23
230,8,23
231,8,24
232,8,25
233,8,26
234,8,27
235,9,27
236,10,27
237,11,27
238,11,28
239,11,29
240,11,30
241,11,31
242,12,31
243,13,31
244,13,32
245,13,33
246,13,34
247,13,35
248,14,35
249,14,36
250,14,37
251,15,37
252,15,38
253,16,38
254,16,39
255,16,40
256,16,41
257,17,41
258,17,42
259,17,43
260,18,43
261,19,43
262,19,44
263,19,45
264,19,46
265,19,47
266,20,47
267,20,48
268,20,49
269,20,50
270,20,51
271,20,52
272,20,53
273,21,53
274,21,54
275,22,54
276,22,55
277,22,56
278,22,57
279,23,57
280,23,58
281,23,59
282,23,60
283,23,61
284,24,61
285,24,62
286,24,63
287,25,63
288,25,64
289,25,65
290,25,66
291,26,66
292,26,67
293,26,68
294,26,69
295,26,70
296,26,71
297,26,72
298,27,72
299,27,73
300,28,73
301,29,73
302,29,74
303,29,75
304,29,76
305,29,77
306,29,78
307,30,78
308,30,79
309,30,80
310,30,81
311,30,82
312,31,82
313,31,83
314,31,84
315,31,85
316,32,85
317,32,86
318,32,87
319,33,87
320,33,88
321,33,89
322,33,90
323,34,90
324,34,91
325,35,91
326,35,92
327,35,93
328,36,93
329,36,94
330,37,94
331,38,94
332,38,95
333,39,95
334,39,96
335,39,97
336,40,97
337,40,98
338,40,99
339,40,100
340,40,101
341,40,102
342,40,103
343,40,104
344,40,105
345,41,105
346,42,105
347,43,105
348,43,106
349,43,107
350,44,107
351,44,108
352,44,109
353,44,110
354,45,110
355,45,111
356,45,112
357,45,113
358,46,113
359,46,114
360,47,114
361,47,115
362,47,116
363,48,116
364,48,117
365,48,118
366,48,119
367,48,120
368,48,121
369,48,122
370,48,123
371,48,124
372,48,125
373,49,125
374,49,126
375,49,127
376,49,128
377,49,129
378,49,130
379,49,131
380,49,132
381,49,133
382,50,133
383,50,134
384,50,135
385,50,136
386,50,137
387,50,138
388,50,139
389,50,140
390,51,140
391,51,141
392,52,141
393,53,141
394,53,142
395,53,143
396,53,144
397,53,145
398,53,146
399,53,147
400,1,0
401,2,0
402,2,1
403,2,2
404,2,3
405,3,3
406,4,3
407,4,4
408,4,5
409,4,6
410,4,7
411,4,8
412,4,9
413,4,10
414,4,11
415,4,12
416,4,13
417,4,14
418,4,15
419,4,16
420,4,17
421,4,18
422,4,19
423,5,19
424,5,20
425,6,20
426,6,21
427,6,22
428,6,23
429,7,23
430,7,24
431,8,24
432,8,25
433,9,25
434,9,26
435,9,27
436,9,28
437,10,28
438,11,28
439,11,29
440,12,29
441,12,30
442,13,30
443,13,31
444,13,32
445,13,33
446,14,33
447,14,34
448,14,35
449,14,36
450,14,37
451,15,37
452,15,38
453,15,39
454,16,39
455,16,40
456,16,41
457,16,42
458,16,43
459,16,44
460,16,45
461,16,46
462,16,47
463,16,48
464,16,49
465,16,50
466,16,51
467,16,52
468,16,53
469,16,54
470,16,55
471,16,56
472,17,56
473,17,57
474,17,58
475,17,59
476,18,59
477,18,60
478,19,60
479,19,61
480,19,62
481,19,63
482,19,64
483,19,65
484,19,66
485,19,67
486,19,68
487,19,69
488,19,70
489,19,71
490,19,72
491,20,72
492,21,72
493,21,73
494,22,73
495,23,73
496,23,74
497,23,75
498,23,76
499,23,77
500,23,78
501,23,79
502,24,79
503,24,80
504,25,80
505,25,81
506,26,81
507,26,82
508,27,82
509,28,82
510,28,83
511,28,84
512,29,84
513,29,85
514,30,85
